# x_m,y_m,w_tr_right_m,w_tr_left_m
125.9164938,-177.831128,7.924,7.376
125.2095204,-178.5406718,7.913,7.387
124.49175220000001,-179.237736,7.903,7.397
123.7636724,-179.92212440000003,7.801,7.499
123.02541060000001,-180.59361180000002,7.668,7.632
122.27687420000001,-181.2519532,7.535,7.765
121.5179672,-181.896904,7.536,7.764
120.74859300000001,-182.5282192,7.551,7.749
119.96865560000002,-183.1456542,7.611,7.689
119.17805880000002,-183.74896420000002,7.668,7.632
118.37670660000002,-184.33790420000003,7.681,7.619
117.5645028,-184.9122294,7.695,7.605
116.74135100000001,-185.471695,7.708,7.592
115.90715520000002,-186.01605600000002,7.719,7.581
115.0618192,-186.54506800000001,7.727,7.573
114.20524680000001,-187.0584858,7.735,7.565
113.3374054,-187.55599420000001,7.755,7.545
112.45863580000001,-188.0368646,7.779,7.521
111.5694148,-188.5002174,7.802,7.498
110.670219,-188.9451736,7.826,7.474
109.76152520000001,-189.37085360000003,7.846,7.454
108.84381040000001,-189.77637800000002,7.866,7.434
107.9175512,-190.1608672,7.886,7.414
106.9832244,-190.5234422,7.831,7.469
106.04130680000002,-190.8632232,7.755,7.545
105.0922754,-191.1793308,7.679,7.621
104.13660700000001,-191.470886,7.641,7.659
103.174778,-191.7370088,7.621,7.679
102.207265,-191.9768616,7.6,7.7
101.2345284,-192.19070340000002,7.609,7.691
100.2570116,-192.3799772,7.653,7.647
99.27515740000001,-192.546185,7.697,7.603
98.28940840000001,-192.69082920000002,7.744,7.556
97.3002074,-192.8154118,7.804,7.496
96.307997,-192.9214346,7.864,7.436
95.31322,-193.01039980000002,7.924,7.376
94.3163188,-193.0838096,7.971,7.329
93.3177364,-193.14316580000002,7.92,7.38
92.31791520000002,-193.1899706,7.87,7.43
91.31729800000001,-193.225726,7.825,7.475
90.31632760000001,-193.25193420000002,7.809,7.491
89.3154242,-193.2700542,7.792,7.508
88.31474800000001,-193.2810468,7.777,7.523
87.31429200000001,-193.2855528,7.766,7.534
86.31404680000001,-193.2842078,7.755,7.545
85.31400280000001,-193.277647,7.744,7.556
84.31415040000002,-193.26650600000002,7.733,7.567
83.31447960000001,-193.25142000000002,7.723,7.577
82.3149812,-193.23302460000002,7.712,7.588
81.31564560000001,-193.21195520000003,7.701,7.599
80.31646280000001,-193.18884740000001,7.69,7.61
79.3174236,-193.1643362,7.679,7.621
78.318518,-193.1390574,7.668,7.632
77.3197366,-193.1136444,7.657,7.643
76.3210666,-193.08853320000003,7.646,7.654
75.3224902,-193.063792,7.635,7.665
74.3239884,-193.0394478,7.624,7.676
73.3255424,-193.0155286,7.613,7.687
72.32713340000001,-192.99206160000003,7.603,7.697
71.328743,-192.96907420000002,7.592,7.708
70.33035220000001,-192.94659420000002,7.581,7.719
69.3319422,-192.9246488,7.57,7.73
68.33349439999999,-192.90326560000003,7.559,7.741
67.33499,-192.88247220000002,7.548,7.752
66.3364102,-192.8622958,7.537,7.763
65.3377362,-192.84276420000003,7.526,7.774
64.3389496,-192.8239048,7.515,7.785
63.3400312,-192.805745,7.504,7.796
62.3409624,-192.7883124,7.494,7.806
61.3417246,-192.7716346,7.483,7.817
60.342299000000004,-192.7557386,7.472,7.828
59.342666799999996,-192.74065240000002,7.461,7.839
58.342809200000005,-192.7264034,7.45,7.85
57.342707399999995,-192.71301900000003,7.439,7.861
56.34234300000001,-192.7005266,7.428,7.872
55.3416968,-192.6889538,7.417,7.883
54.340750400000005,-192.6783282,7.406,7.894
